"pro_id";"pro_lib";"pro_descr";"pro_prix_achat";"pro_photo";"pro_stock";"pro_actif";"pro_s_rub_id"
"1";"Harley Benton SC-1000";"Progressive Line / Table bombée / Corps en acajou";"198.00";"https://images.static-thomann.de/pics/prod/314901.jpg";"5";"1";"1"
"2";"Harley Benton DC-Junior";"Corps en acajou / Manche collé en acajou / Touche en ébène";"248.00";"https://images.static-thomann.de/pics/prod/478683.jpg";"5";"1";"1"
"3";"Harley Benton GL-2NT";"Guitare classique 1/8 / Table en épicéa / Fond et éclisses en acajou (Entandrophragma cylindricum)";"49.00";"https://images.static-thomann.de/pics/prod/371679.jpg";"3";"1";"2"
"4";"Startone CG 851";"Taille : 1/8 / Corps en tilleul / Manche en nato";"31.00";"https://images.static-thomann.de/pics/prod/219218.jpg";"5";"1";"2"
"5";"Harley Benton D-120CE BK";"Dreadnought / Pan coupé / Table en épicéa";"79.00";"https://thumbs.static-thomann.de/thumb/orig/pics/prod/157819.jpg";"5";"1";"3"
"6";"Harley Benton D-120CE NT";"Série Standard / Dreadnought / Pan coupé";"79.00";"https://thumbs.static-thomann.de/thumb/orig/pics/prod/336998.jpg";"5";"1";"3"
"7";"Harley Benton JB-75MN NA Vintage Series";"4 cordes / Série Vintage / Corps en frêne américain";"158.00";"https://thumbs.static-thomann.de/thumb/orig/pics/prod/224321.jpg";"5";"1";"4"
"8";"Marcus Miller V7 Swamp Ash-4 NT 2nd Gen";"4 cordes / Fabriquée par Sire / Corps en frêne des marais";"499.00";"https://thumbs.static-thomann.de/thumb/orig/pics/prod/446264.jpg";"5";"1";"4"
"9";"Harley Benton Kahuna CLU-Bass Ukulele";"Electro-acoustique / Série Custom Line Kahuna / Taille Traveller";"148.00";"https://thumbs.static-thomann.de/thumb/orig/pics/bdb/319677/11351477_800.jpg";"5";"1";"5"
"10";"Harley Benton B-30BK Acoustic Bass Series";"4 cordes / Série Acoustic Bass / Super Jumbo";"148.00";"https://thumbs.static-thomann.de/thumb/orig/pics/prod/165299.jpg";"5";"1";"5"
"11";"Harley Benton UK-12 Black";"Corps en tilleul / Manche en tilleul / Touche en Roseacer";"19.90";"https://thumbs.static-thomann.de/thumb/orig/pics/bdb/257768/14757106_800.jpg";"5";"1";"6"
